ID;Titre;Style;Artiste;Année;Lieu principal;Echelle;Code INSEE;Code département;Extrait des paroles;Lien;Longitude;Lattitude
77-001;Bzzz;Chanson française;Java;2003;Melun;Commune;77288;77;Si tu étais une ville ? Je m’appellerais Melun;https://www.bide-et-musique.com/song/16379.html?utm_source=chatgpt.com;2.6561;48.5395
77-002;Le martyr de la flagellation (curé de Bombon);Chanson française;F. Montagnon;;Bombon;Commune;77040;77;(Chanson relatant un fait divers dans le village de Bombon);https://archives.seine-et-marne.fr/index.php/fr/actualites/lhistoire-de-la-seine-et-marne-en-chanson-et-en-musique?utm_source=chatgpt.com;2.8108;48.5660
77-003;Présentation;Rap;DaBlast MC;2000;Marne-la-Vallée;Commune;77464;77;Marne-et-Seine j’viens représenter … Marne-la-Vallée, j’ai gagné mes gallons à Thorigny;https://www.paroles.net/dablast-mc/paroles-presentation?utm_source=chatgpt.com;2.7073;48.8947
77-004;Présentation;Rap;DaBlast MC;2000;Thorigny-sur-Marne;Commune;77464;77;Marne-et-Seine j’viens représenter … Marne-la-Vallée, j’ai gagné mes gallons à Thorigny;https://www.paroles.net/dablast-mc/paroles-presentation?utm_source=chatgpt.com;2.7073;48.8947
94-001;Ballade en Val-de-Marne;Chanson française;Francis Lemarque;1984;Val-de-Marne;Département;94;94;Dans le Val-de-Marne / Si tu te promènes / En longeant la Marne …;https://www.paroles.net/lemarque-francis/paroles-ballade-en-val-de-marne?utm_source=chatgpt.com;2.4300;48.8000
94-002;94;Rap;Rohff;2004;Val-de-Marne;Département;94;94;Le Val de Marne mon deuxième pays … Si t’as la plaque 9.4;https://www.paroles.net/rohff/paroles-94?utm_source=chatgpt.com;2.4300;48.8000
78-001;Béni;french rap, pop urbaine;Elh Kmer;2020;Achères;Commune;78005;78;De villeneuve à achères-ville tu m'entends dans la sono, j'te raconte ma vie;https://genius.com/Elh-kmer-beni-lyrics;2,1095;48,9817
78-002;PYGMALION;french rap;B.B. Jacques;2024;Andrésy;Commune;78015;78;j't'ai sans doute balayé sur un tatami entre courbevoie et andrésy j'prépare l'mental, j'suis pas là, j'bosse, j'soulève les montagnes;https://genius.com/Bb-jacques-pygmalion-lyrics;2,0496;48,9778
78-003;DNA;;Teklam;2024;Andrésy;Commune;78015;78;autour d'la butte j'réside mais j'te dis la vérité qu'j'préférais andrésy j'préfère être là où y a pas d'réseau;https://genius.com/Teklam-dna-lyrics;2,0496;48,9778
78-004;Auteuil, Neuilly, Passy;chanson;Les inconnus;1991;Auteuil;Commune;78034;78;"Pas un Arabe du coin ni un Euromarché
Auteuil, Neuilly, Passy : tel est notre ghetto";https://genius.com/Les-inconnus-auteuil-neuilly-passy-lyrics;1,8172;48,8415
78-005;Lewis Hamilton;french rap;La Rvfleuze;2025;Bougival;Commune;78092;78;bah j'y vais, bah j'y vais, le p'tit va jusqu'à bougival;https://genius.com/La-rvfleuze-lewis-hamilton-lyrics;2,1394;48,8627
78-006;Assedic;french jazz;Les Escrocs;;Bougival;Commune;78092;78;pour retourner au carnaval du r.e.r et du leclerc de bougival assedic…;https://genius.com/Les-escrocs-assedic-lyrics;2,1394;48,8627
78-007;Hooligans;french rap;Reda;2021;Bougival;Commune;78092;78;x2 le r, le e, le d, le a 78, bougival 3-4 fois, on a pensé à s'faire neymar a;https://genius.com/Reda-hooligans-lyrics;2,1394;48,8627
78-008;Pour toi;french rap;Deadi;2022;Carrières-sous-Poissy;Commune;78123;78;on m'dit : pense à ta carrière et j'pense à carrières-sous-poissy sérieux, j'suis grave loin, t'es pas d'taille, espèce dе;https://genius.com/Deadi-pour-toi-lyrics;2,0264;48,9469
78-009;T’en fais pas;khaleeji;Assaf;2014;La Celle-Saint-Cloud;Commune;78126;78;Tellement je t’ai fais marcher, t’es bientôt arrivé jusqu’à La Celle-Saint-Cloud;https://genius.com/Assaf-ten-fais-pas-lyrics;2,1342;48,8498
78-010;Le rap c’est un peep-show;french rap;Alkpote;2008;Chambourcy;Commune;78133;78;vont s'abreuver de c'que j'ai éjaculé dans le pot de chambourcy j'marche avec de la coke dans le blue jean;https://genius.com/Alkpote-le-rap-cest-un-peep-show-lyrics;2,0267;48,8973
78-011;Le Rat Débile Et Le Rat Méchant;;Pit Et Rik;;Chambourcy;Commune;78133;78;sport viril du ski d'fond dans le fromage blanc à chambourcy 2000 je fais d'la planche à poil à perlin;https://genius.com/Pit-et-rik-le-rat-debile-et-le-rat-mechant-lyrics;2,0267;48,8973
78-012;78 Représente;french rap, french r&b;La Fouine;2006;Chanteloup-les-Vignes;Commune;78138;78;représente mantes-la-jolie, man on représente sartrouville, comme d'hab on représente chanteloup-les-vignes, man on représente les mureaux;https://genius.com/La-fouine-78-represente-lyrics;2,0336;48,9773
78-013;Piwi;pop urbaine, french rap, moroccan pop, moroccan rap;Lartiste;2019;Cravent;Commune;78188;78;à la cité, c'est depuis mes refrés tombent comme inouits, 'cravent de midi à minuit la bst, elle tourne, envie;https://genius.com/Lartiste-piwi-lyrics;1,4844;48,9901
78-014;Youporn;french rap, french r&b;La Fouine;2010;Élancourt;Commune;78208;78;"J'ai quelque putes à qui je donne à manger
Banlieue Sale, Sartrouville, Trappes, Elancourt, Les Mureaux";https://genius.com/La-fouine-youporn-lyrics;1,9612;48,7771
78-015;À 20 000 lieues de la mer;french rap;La Rumeur;2002;Élancourt;Commune;78208;78;et la répression aussi cruelle que la récession l’actuel maire d’élancourt n’est qu’une sale pédale qui ne peut se déplacer;https://genius.com/La-rumeur-a-20-000-lieues-de-la-mer-lyrics;1,9612;48,7771
78-016;Les tramways de Carouge;variété française, chanson, french house, french pop;Michel Berger;;Feucherolles;Commune;78233;78;sur le bord de mon col dans la maison de feucherolles et puis quand tu dérailles des souvenirs en pagaille;https://genius.com/Michel-berger-les-tramways-de-carouge-lyrics;1,9847;48,8787
78-017;Charlie Brown;;Ebony_mp4;2021;Freneuse;Commune;78255;78;beats j’appelle ta bitch j’la sors d’un état léthargique 2-7-2-9-0 freneuse rpz tu sais où j’habite on s’en fous de;https://genius.com/Ebony-mp4-charlie-brown-lyrics;1,6139;49,0489
78-018;DU SANG DANS MA HAINE;trap metal, rap metal, french rap;FELO SKURT;2023;Gargenville;Commune;78267;78;catch dans ma chambre avec mon frère quand j’étais à gargenville je navigue dans ça shnek harride harry potteur;https://genius.com/Felo-skurt-du-sang-dans-ma-haine-lyrics;1,8112;48,9938
78-019;Bienvenue dans le 78;french rap, french r&b;La Fouine;2011;Guyancourt;Commune;78297;78;ça fait vite des prisons farcies les potos d’elancourt, 78 guyancourt ca bicrave des litrons ouais les tipeu ne vont;https://genius.com/La-fouine-bienvenue-dans-le-78-lyrics;2,0745;48,7735
78-020;OCARINA FOREST;french rap;Jaywill (FRA);2024;Houilles;Commune;78311;78;veut tester mes couilles, j'suis déter, j’vais au studio à houilles vise les cages au corner rien à foutre, si;https://genius.com/Jaywill-fra-ocarina-forest-lyrics;2,1866;48,9266
78-021;Saucisson de cheval n°2;chanson, variété française;Boby Lapointe;1966;Houilles;Commune;78311;78;belle-mère de grasse, près de nice et votre père de houilles, en banlieue oh là c'est moche arrête non là;https://genius.com/Boby-lapointe-saucisson-de-cheval-n2-lyrics;2,1866;48,9266
78-022;La paix des étoiles;chanson, variété française, french pop;Alexis Hk;;Houilles;Commune;78311;78;jour-là, je ne sais plus où à carrières ou à houilles une claque derrière ma tête t’as pas une cigarette,;https://genius.com/Alexis-hk-la-paix-des-etoiles-lyrics;2,1866;48,9266
78-023;Maison hantée;french rap;Werenoi;2023;Maisons-Laffitte;Commune;78358;78;(par la vitre) envoie l'adresse, le code, j'viens t'visser jusqu'à maisons-laffitte on est très pragmatique, j'sais qu'ton corps tient dans;https://genius.com/Werenoi-maison-hantee-lyrics;2,1533;48,9503
78-024;Mantes-la-Jolie;french rap;Weedy;2005;Mantes-la-Jolie;Commune;78361;78;"Obligé d'guetter au point d'frôler le torticolis
Facile d's'inquiéter quand tu songes au passé à Mantes-la-Jolie";https://genius.com/Weedy-mantes-la-jolie-lyrics;1,6918;48,9961
78-025;Essaie encore;french rap, french r&b;La Fouine;2013;Mantes-la-Jolie;Commune;78361;78;c'est la folie j'repense au bâtiment f, aux frères de mantes-la-jolie aux grands qu'on a perdus, aux drames, aux fléaux;https://genius.com/La-fouine-essaie-encore-lyrics;1,6918;48,9961
78-026;le son c’est la guerre;french rap, french r&b;Rohff;2003;Mantes-la-Jolie;Commune;78361;78;"Orly, Choisy, Vitry-sur-Haine, Joinville (Mafia K'1 Fry)
Mantes-la-Jolie, les Mureaux, Sayd (Mafia K'1 Fry)";https://genius.com/Rohff-le-son-cest-la-guerre-lyrics;1,6918;48,9961
78-027;BZH;french rap, rap metal;MC Circulaire;2007;Maurepas;Commune;78383;78;"Ouais ouais mon p'tit bigouden !
Spéciale dédicace pour La Bretonnière, La Cochère
Bréquigny
Maurepas";https://genius.com/Mc-circulaire-bzh-lyrics;1,925;48,7712
78-028;Si tu pars;rumba congolaise, ndombolo;Lokua Kanza;2005;Maurepas;Commune;78383;78;terre où ton cœur a vu le jour zanzibar ou maurepas faudra jamais que tu oublies l'amour tu verras, la;https://genius.com/Lokua-kanza-si-tu-pars-lyrics;1,925;48,7712
78-029;Microphone T’cheik Kongo;ragga, shatta, french r&b, french rap;Kenyon;;Maurepas;Commune;78383;78;autre part, vivement ce futur où sont mes gars de maurepas, villejean et zup sud ? (où ça ?);https://genius.com/Kenyon-microphone-tcheik-kongo-lyrics;1,925;48,7712
78-030;La Finesse;rap québécois, french rap;Rowjay;2020;Méricourt;Commune;78391;78;vois move au luxembourg (yes) à paris j'suis sur rue, folie-méricourt déjà habitué d’être confiné j'fume le shit de marseille,;https://genius.com/Rowjay-la-finesse-lyrics;1,6254;49,037
78-031;El Señor Ravel;lullaby, children's music, folklore argentino;María Elena Walsh;1969;Montfort-l'Amaury;Commune;78420;78;"Llegó a Montfort-l’Amaury
Un gato de cascabel
Abrió la puerta cancel";https://genius.com/Maria-elena-walsh-el-senor-ravel-lyrics;1,8081;48,7717
78-032;Ma cité a craqué;french rap, pop urbaine;Sofiane;2017;Les Mureaux;Commune;78440;78;9.3 terre des pillards, là on est 6 milliards comme les mecs des Mureaux, Fianso;https://genius.com/Sofiane-ma-cite-a-craque-lyrics;1,911;48,9877
78-033;En direct de la lune;french rap, french r&b;Sexion d’Assaut;2012;Les Mureaux;Commune;78440;78;Cristal ca murmure, PDG y'a que celui des Mureaux;https://genius.com/Sexion-dassaut-en-direct-de-la-lune-lyrics;1,911;48,9877
78-034;La vie en rouge;french rap, french r&b, pop urbaine;Booba;2009;Les Mureaux;Commune;78440;78;Je me lève pour aller pousser avec mes négros des Mureaux;https://genius.com/Booba-la-vie-en-rouge-lyrics;1,911;48,9877
78-035;Le son c’est la guerre;french rap, french r&b;Rohff;2003;Les Mureaux;Commune;78440;78;"Orly, Choisy, Vitry-sur-Haine, Joinville (Mafia K'1 Fry)
Mantes-la-Jolie, les Mureaux, Sayd (Mafia K'1 Fry)";https://genius.com/Rohff-le-son-cest-la-guerre-lyrics;1,911;48,9877
78-036;Chien de la casse;french rap, pop urbaine;Kaaris;2019;Les Mureaux;Commune;78440;78;Comme un boug des Mureaux, j'suis impoli, j'baise Gina sur le bureau de Tony;;1,911;48,9877
78-037;Flashback;french rap, moroccan rap;Mister You;2019;Les Mureaux;Commune;78440;78;C'est pour nos gens d'Creil, sans oublier Les Mureaux;https://genius.com/Mister-you-flashback-lyrics;1,911;48,9877
78-038;Youporn;french rap, french r&b;La Fouine;2010;Les Mureaux;Commune;78440;78;"J'ai quelque putes à qui je donne à manger
Banlieue Sale, Sartrouville, Trappes, Elancourt, Les Mureaux";https://genius.com/La-fouine-youporn-lyrics;1,911;48,9877
78-039;Ça fait mal;french rap, french r&b;La Fouine;2009;Les Mureaux;Commune;78440;78;"Yeah, Les Mureaux d'Trappes ont su remonter la pente
J'pose des putain d'tueries, ces MC posent des mains courantes";https://genius.com/La-fouine-ca-fait-mal-lyrics;1,911;48,9877
78-040;Monsieur Comédie;;Trust (FRA);1980;Neauphle-le-Château;Commune;78442;78;l'a su assez tôt le soleil ne brille plus à neauphle-le-château impotent le vieillard a relancé la bagarre et rempli;https://genius.com/Trust-fra-monsieur-comedie-lyrics;1,9031;48,8122
78-041;Pendez-Les;;Merimes;2014;Orgeval;Commune;78466;78;"Moi c'est Soumah
Orgeval, Merimes, du rap tah sah";https://genius.com/Merimes-pendez-les-lyrics;1,9698;48,9185
78-042;L’amour qui bat;variété française, chanson, french pop, french house;Véronique Sanson;1981;Orgeval;Commune;78466;78;aura plus de soirées de bal dans la maison d' orgeval plus de son de carnaval plus rien mais toi;https://genius.com/Veronique-sanson-lamour-qui-bat-lyrics;1,9698;48,9185
78-043;Bienvenue dans le 78;french rap, french r&b;La Fouine;2011;Poissy;Commune;78498;78;mais nos avocats font la vaisselle mantes la tuerie, sartrouville, poissy pour les sans papiers ouais tous les chemins mènent;https://genius.com/La-fouine-bienvenue-dans-le-78-lyrics;2,025;48,9241
78-044;Topboy;french rap;Mola (FRA);2023;Porcheville;Commune;78501;78;grandissent les poches vides donc ils finissent à fleury ou porcheville tu dois du w ça peut sonner chez ton;https://genius.com/Mola-fra-topboy-lyrics;1,768;48,9781
78-045;CJD;french rap;Niaks;2021;Porcheville;Commune;78501;78;en prom'nadе élaborer des plans et d'se promettre d'tout niquer porcheville, villepinte, osny, fleury, j'ai fait les quattro c'est pas;https://genius.com/Niaks-cjd-lyrics;1,768;48,9781
78-046;REAL LIFE;horrorcore, southern hip hop;R2Z;2024;Porcheville;Commune;78501;78;semaines après les faits, le frérot m'appelle en di'-di' de porcheville sur snap ça sert à rien de parler on;https://genius.com/R2z-real-life-lyrics;1,768;48,9781
78-047;Rambouillet;;Diiix;2016;Rambouillet;Commune;78517;78;"Je vais la foudroyer x 2
Dans la forêt de Rambouillet";https://genius.com/Diiix-rambouillet-lyrics;1,8339;48,6538
78-048;Rue des bergères;desi hip hop, hindi hip hop, punjabi hip hop;Sinik;2007;Rambouillet;Commune;78517;78;mais c'était ça, ou bien les camps pour délinquants à rambouillet rappelle-toi, on était jeunes, on a souffert, on en;https://genius.com/Sinik-rue-des-bergeres-lyrics;1,8339;48,6538
78-049;Rap millésimé;;Pegamax;;Richebourg;Commune;78520;78;distingué, loin d’être soyeux mon rap reste riche comme un richebourg, ou un bon bourgogne à consommer en été ou;https://genius.com/Pegamax-rap-millesime-lyrics;1,634;48,825
78-050;Mon grand-père Louis;chanson, lullaby, variété française;Anne Sylvestre;1967;Richebourg;Commune;78520;78;vanter d'avoir en cave deux ou trois bouteilles graves de richebourg triomphant car bien que je ne sois vieille que;https://genius.com/Anne-sylvestre-mon-grand-pere-louis-lyrics;1,634;48,825
78-051;Le son des capuches;french rap;Seth Gueko;2009;Saint-Germain-en-Laye;Commune;78551;78;vitres teintées on r'trouve à poil dans la forêt de saint-germain-en-laye les mains en l'air, où est la monnaie on;https://genius.com/Seth-gueko-le-son-des-capuches-lyrics;2,1052;48,931
78-052;Avec moi;french rap;Ledé Markson;2017;Saint-Lambert;Commune;78561;78;à l'admettre mais j’me sens mieux sur scène que place saint-lambert si j’m’enferme au stud, tu risques de prendre cher;https://genius.com/Lede-markson-avec-moi-lyrics;2,0093;48,7339
78-053;Youporn;french rap, french r&b;La Fouine;2010;Sartrouville;Commune;78586;78;quelque putes à qui je donne à manger banlieue sale, sartrouville, trappes, elancourt, les mureaux pose le blé sur la;https://genius.com/La-fouine-youporn-lyrics;2,1744;48,9374
78-054;Bienvenue dans le 78;french rap, french r&b;La Fouine;2011;Sartrouville;Commune;78586;78;sale mais nos avocats font la vaisselle mantes la tuerie, sartrouville, poissy pour les sans papiers ouais tous les chemins;https://genius.com/La-fouine-bienvenue-dans-le-78-lyrics;2,1744;48,9374
78-055;Thoiry;french rap;rob;2025;Thoiry;Commune;78616;78;J'ai grandi dans l'zoo, pas c'lui d'Thoiry (Pas c'lui d'Thoiry), ouais (Shit);https://genius.com/Rob-thoiry-lyrics;1,7989;48,8699
78-056;Trappes;french rap, french r&b;La Fouine;2016;Trappes;Commune;78621;78;;https://genius.com/La-fouine-trappes-lyrics;1,9964;48,7738
78-057;Freestyle “Trappes City”;french rap;Green Money;;Trappes;Commune;78621;78;"Trappes City, Trappes City bitch
On a grandi pauvre, mais on finit riche";https://genius.com/Green-money-freestyle-trappes-city-lyrics;1,9964;48,7738
78-058;Banlieue Ouest (Planète Trappes);french rap, french r&b;La Fouine;2004;Trappes;Commune;78621;78;Viens pécho à Trappes, ça parle en tonnes;https://genius.com/La-fouine-banlieue-ouest-planete-trappes-lyrics;1,9964;48,7738
78-059;Triel-sur-Seine, très tôt, le matin;variété française, chanson, french pop, french house;Véronique Sanson;2004;Triel-sur-Seine;Commune;78624;78;;https://genius.com/Veronique-sanson-triel-sur-seine-tres-tot-le-matin-lyrics;2,0055;48,976
78-060;Marchand De Seringue;;Mafia Vr;2018;Vernouillet;Commune;78643;78;fera anestésié , si on vien tpiétinner (bai bai bang) vernouillet , guyancoudcoud gang ses le parc mes ses la;https://genius.com/Mafia-vr-marchand-de-seringue-lyrics;1,9748;48,9649
78-061;Versailles;experimental hip hop, alternative hip hop, east coast hip hop;​billy woods;2022;Versailles;Commune;78646;78;;https://genius.com/Billy-woods-versailles-lyrics;2,1191;48,8039
78-062;Château de Versailles;french rap, pop urbaine;Lefa;2019;Versailles;Commune;78646;78;Une carte d'anniversaire du côté d'Versailles, eh;https://genius.com/Lefa-chateau-de-versailles-lyrics;2,1191;48,8039
78-063;La pluie tombe;;Squeul;2024;Vicq;Commune;78653;78;l’ange du bus s’appellait angélique petit village j’descend quand c’est vicq j’suis daryl et je voulais venger rick 17 août;https://genius.com/Squeul-la-pluie-tombe-lyrics;1,8283;48,8223
78-064;The Shaggy Dog Stories - Chap. 1;;George Plant;2015;Villepreux;Commune;78674;78;his aunt charlotte took him in at her farm near villepreux. he lived and worked there for over eight years,;https://genius.com/George-plant-the-shaggy-dog-stories-chap-1-lyrics;2,0127;48,8306
78-065;L’amour;chanson;Éric Toulis;2010;Viroflay;Commune;78686;78;t'es pas fier l'amour c'est comme une mobylette volée à viroflay retrouvée à nanterre alors j'te pose un question on;https://genius.com/Eric-toulis-lamour-lyrics;2,1725;48,8017
78-066;The French Revolution (Chap. 1.5.1.);;Thomas Carlyle;1837;Viroflay;Commune;78686;78;there are private conclaves, supper-parties, consultations, breton club, club of viroflay, germs of many clubs. wholly an element of confused;https://genius.com/Thomas-carlyle-the-french-revolution-chap-151-annotated;2,1725;48,8017
