ID;Titre;Style;Artiste;Année;Lieu principal;Echelle;Code INSEE;Code département;Extrait des paroles;Lien;Longitude;Lattitude
91-135;Refaire le monde;french rap;Grödash;2008;Vigneux-sur-Seine;Commune;91657;91;l'école, on envie le succès moi j'partais des ulis jusqu'à vigneux-sur-seine combien d'fois j'ai refait le monde dans le rer;https://genius.com/Grodash-refaire-le-monde-lyrics;2,4274;48,7021
91-136;Gérard;chanson, variété française, french pop, french house;Têtes Raides;;Vigneux-sur-Seine;Commune;91657;91;chevaux et si t'as le cafard passe voir gérard à vigneux-sur-seine coule la seine monsieur gérard à vigneux-sur-seine gérard! allez;https://genius.com/Tetes-raides-gerard-lyrics;2,4274;48,7021
91-137;Bâtiment;french rap;Imed zee;2023;Viry-Châtillon;Commune;91687;91;j'suis pas un échantillon on plaidera la relax' comme à viry-châtillon si tu m'aimes donne-moi d'la force, viens surtout pas;https://genius.com/Imed-zee-batiment-lyrics;2,3758;48,6662
91-138;Numéro d’ton bord;french rap;Take A Mic;2015;Viry-Châtillon;Commune;91687;91;fut, tu fuis, fuyons oui, j'mérite les millions j'rappe jusqu'à viry-châtillon tu sers à rien comme un pion mou paro,;https://genius.com/Take-a-mic-numero-dton-bord-lyrics;2,3758;48,6662
91-139;Partout chez moi;french rap;Dandyguel;2017;Viry-Châtillon;Commune;91687;91;pour votre accueil, ça fait plaisir perdu dans le 9-1 viry-châtillon, tu connais si si;https://genius.com/Dandyguel-partout-chez-moi-lyrics;2,3758;48,6662
91-140;X (Episode 10);french rap;Sofiane;2016;Yerres;Commune;91691;91;chez so', hein ? check la caste', val d'argenteuil, labreu-zoo yerres 9.1, 17ème, cité rougemont moulin-neuf, cité rouge, 19ème félix;https://genius.com/Sofiane-x-episode-10-lyrics;2,4932;48,7129
91-141;Danger;french rap;Rimkus;2024;Yerres;Commune;91691;91;si c'est nous dans ta poule au tirage a6, direction yerres, collés au sol, les pneus crissent dans les virages;https://genius.com/Rimkus-danger-lyrics;2,4932;48,7129
91-142;Déterminé;french rap, french r&b;Rohff;2013;Les Ulis;Commune;91692;91;"Les Bougs de Grigny sont déterminés
Les Ulis et Évry, trop déterminés";https://genius.com/Rohff-determine-lyrics;2,1864;48,6817
91-143;Une époque formidable;french rap, french r&b, rap québécois;Sinik;2005;Les Ulis;Commune;91692;91;"L'histoire commence aux Ulis en 1984
Petit et peace, dire que cette ville allait changer ma life";https://genius.com/Sinik-une-epoque-formidable-lyrics;2,1864;48,6817
92-144;Paris;moroccan rap, moroccan pop;Mistah Vee;2019;Asnières-sur-Seine;Commune;92004;92;châtelet, takol falafel (oooh) la bghiti takol msmmen douz l asnières-sur-seine (oooh) cherche pas l’embrouille, ghaylou7ouk f la seine (ooh);https://genius.com/Mistah-vee-paris-lyrics;2,2935;48,9181
92-145;Bagneux all stars;french rap;Mc Braco;;Bagneux;Commune;92007;92;;https://genius.com/Mc-braco-bagneux-all-stars-lyrics;2,3093;48,798
92-146;Team BS;french r&b;Team BS;2013;Bagneux;Commune;92007;92;sonne-per juste pour honorer mon frère représentant du 9.2 : bagneux, nanterre j'regrette un peu les études, j'ai esquivé de;https://genius.com/Team-bs-team-bs-lyrics;2,3093;48,798
92-147;4 Étoiles;french rap, pop urbaine;Sultan;2012;Bagneux;Commune;92007;92;ça nous fait prendre des kilos c'est pour cuvtars te-ters, bagneux c'est la city du rond point des blagis jusqu'à;https://genius.com/Sultan-4-etoiles-lyrics;2,3093;48,798
92-148;Bois-Colombes;french rap;Raplume;2024;Bois-Colombes;Commune;92009;92;;https://genius.com/Raplume-kerchak-jolagreen23-mitch-ladrogua-kabbsky-buu-fra-and-ydasevic-bois-colombes-lyrics;2,2688;48,9151
92-149;Préviens les autres;;Ali (45 Scientific);2005;Bois-Colombes;Commune;92009;92;faire porter de nouvelles peines la misère pour alibi de bois-colombes à nanterre, bagneux, mlf, pds et ilm ma banlieue;https://genius.com/Ali-45-scientific-previens-les-autres-lyrics;2,2688;48,9151
92-150;2PAC;french rap, french r&b, pop urbaine;Booba;2012;Boulogne-Billancourt;Commune;92012;92;à chaque fois rage dans le cœur, dans les intestins boulogne-billancourt, sarcelles à stains, criminel instinct lions d'la teranga, dans;https://genius.com/Booba-2pac-lyrics;2,2429;48,8375
92-151;Oublie-moi;french rap;Les Sages Poètes de la Rue;2002;Boulogne-Billancourt;Commune;92012;92;lyrics mercredi soir, un type rôdant dans le quartier de boulogne-billancourt a essayé de refourguer une voiture à un des;https://genius.com/Les-sages-poetes-de-la-rue-oublie-moi-lyrics;2,2429;48,8375
92-152;Bourg-la-Reine;chanson, variété française, french pop;Julien Clerc;1970;Bourg-la-Reine;Commune;92014;92;"Tu étais encore lycéenne
Chez les sœurs a Bourg-La-Reine";https://genius.com/Julien-clerc-bourg-la-reine-lyrics;2,3167;48,7801
92-153;Sex, Drug & Rock’n’roll;french rap;Georgio;2013;Bourg-la-Reine;Commune;92014;92;britney spears on fout la merde pas d'rer b, cotomp bourg-la-reine des regards froids comme clint eastwood et j'vois les;https://genius.com/Georgio-and-hologram-lo-sex-drug-and-rocknroll-lyrics;2,3167;48,7801
92-154;France;anti-folk, folk punk;Kimya Dawson;2006;Bourg-la-Reine;Commune;92014;92;"Girls bein' girls at the Monoprix again
Shoppin', trippin' Bourg-la-Reine";https://genius.com/Kimya-dawson-france-lyrics;2,3167;48,7801
92-155;Châtenay-Malabry;chanson, french pop, variété française;Vincent Delerm;;Châtenay-Malabry;Commune;92019;92;"En mille neuf cent quatre-vingt-trois
Ici à Châtenay-Malabry";https://genius.com/Vincent-delerm-chatenay-malabry-lyrics;2,2603;48,7697
92-156;Le petit âne gris marche seul à Châtenay-Malabry;chanson;Nicolas Bacchus;;Châtenay-Malabry;Commune;92019;92;"Du fond de ma mémoire, je vais vous la chanter
Elle se passe entre Deauville et Châtenay-Malabry";https://genius.com/Nicolas-bacchus-le-petit-ane-gris-marche-seul-a-chatenay-malabry-lyrics;2,2603;48,7697
92-157;Booska Taciturne;french rap;Dinos;2019;Châtenay-Malabry;Commune;92019;92;d'mettre la famille à l'abri, maintenant, j'suis connu d'châtelet jusqu'à châtenay-malabry j'suis trop talentueux pour mourir au quartier, faut qu'j'quitte;https://genius.com/Dinos-booska-taciturne-lyrics;2,2603;48,7697
92-158;Châtillon-Sur-Seine;variété française, chanson, french house, french pop;Saez;2012;Châtillon;Commune;92020;92;A Châtillon-Sur-Seine quand on partait Nelly;https://genius.com/Saez-chatillon-sur-seine-lyrics;2,2887;48,8031
92-159;RATPI WORLD;french rap, french r&b, pop urbaine;Booba;2021;Châtillon;Commune;92020;92;la pandémie, avance-moi un kil' et d'mi 9-2, porte de châtillon, lamborghini, portes papillons (j'suis trop gang, elle peut pas;https://genius.com/Booba-ratpi-world-lyrics;2,2887;48,8031
92-160;Chez Wam;;Sultan;2014;Châtillon;Commune;92020;92;j'ai toujours la le-da comme un mec de chez wam châtillon, gneux-ba, c'est les mecs de chez wam quel fils;https://genius.com/Sultan-chez-wam-lyrics;2,2887;48,8031
92-161;Analog;french rap;HLD;2023;Chaville;Commune;92022;92;sa vie j'ai une mission à faire, elle est vers chaville h-24 j'suis avec mes rat-pi ça revend la mort;https://genius.com/Hld-analog-lyrics;2,191;48,8091
92-162;10 Ans;;Sultan;2007;Chaville;Commune;92022;92;levallois, puteaux, suresnes, courbevoie, clamart, mlf, châtenay, vanves, blr, fontenay, chaville, sèvres, rueil, antony, colombes et bagneux 92, je te;https://genius.com/Sultan-10-ans-lyrics;2,191;48,8091
92-163;Bakel City Gang;french rap, french r&b, pop urbaine;Booba;2011;Clamart;Commune;92023;92;va sodom’ saddam saddam hauts-de-seine, bakel city gangster guinée conakry, clamart c’est àl que j’veux qu’on m’enterre on a perdu;https://genius.com/Booba-bakel-city-gang-lyrics;2,2518;48,7957
92-164;SEKLENLAND #5;french rap;HLD;2021;Clamart;Commune;92023;92;même les keufs, sur ce son j'vais pas débiter hasba clamart j'sais pas qui t'es, j'rentre dans sa chatte, j'veux;https://genius.com/Hld-seklenland-5-lyrics;2,2518;48,7957
92-165;Quiet Days In Clichy II;;Country Joe McDonald;;Clichy;Commune;92024;92;"Oh quiet days in Clichy
Oh quiet days in Clichy";https://genius.com/Country-joe-mcdonald-quiet-days-in-clichy-ii-lyrics;2,3041;48,9041
92-166;Courbevoie Style;hardstyle, frenchcore;Mayhem X;2017;Courbevoie;Commune;92026;92;"C-Courbevoie, Courbevoie Style
Courbevoie!!!";https://genius.com/Mayhem-x-courbevoie-style-lyrics;2,2574;48,8976
92-167;Non;french rap, pop urbaine;Kekra;2020;Courbevoie;Commune;92026;92;loin, rarement when i miss (yeah) hauts-de-seine ouais, ouais, ouais, courbevoie d'puis le vvv quand tu pleurais ouin, ouin, ouin,;https://genius.com/Kekra-non-lyrics;2,2574;48,8976
92-168;Fontenay-aux-roses;chanson, variété française, french house, french pop;Maxime Le Forestier;;Fontenay-aux-Roses;Commune;92032;92;;https://genius.com/Maxime-le-forestier-fontenay-aux-roses-lyrics;2,2876;48,7895
92-169;Marche arrière;french rap;Alpha Wann;2013;Fontenay-aux-Roses;Commune;92032;92;complet au cro-mi j'ai passé mes 10 premières piges, à fontenay-aux-roses phaal est sur paris, j'débarque à pernety quartier plus;https://genius.com/Alpha-wann-marche-arriere-lyrics;2,2876;48,7895
92-170;Marches;french rap, hip house;Jwles;2022;Garches;Commune;92033;92;on va faire un tour en forêt pas loin de garches pour oublier que tous les jours on va au;https://genius.com/Jwles-marches-lyrics;2,1861;48,8469
92-171;Montparnasse;baroque pop, art pop, jangle pop, shibuya-kei;Louis Philippe;;Garches;Commune;92033;92;l'on marche et vous révez d'aller passer votre dimanche à garches il fait un peu lourd et vos cheveux sont;https://genius.com/Louis-philippe-montparnasse-lyrics;2,1861;48,8469
92-172;La flemme;;1995 (band);2011;Gennevilliers;Commune;92036;92;que j'peux plier c'est ainsi pour le jeune phili de gennevilliers j'ai la flemme, la flemme, la flemme, viens on;https://genius.com/1995-band-la-flemme-lyrics;2,288;48,9319
92-173;Moto;french rap, french r&b;Mac Tyer;2020;Gennevilliers;Commune;92036;92;l'integra on filoche rsq5 décharge un conteneur sur l'port de gennevilliers de l'africaine vend de la péruvienne c'est la plus;https://genius.com/Mac-tyer-moto-lyrics;2,288;48,9319
92-174;san andreas;french rap;Lesram;2020;Issy-les-Moulineaux;Commune;92040;92;la piscine molitor la monnaie dort pas du neuf à issy-les-moulineaux, eh le truc est sérieux, ça y est, l'intro;https://genius.com/Lesram-san-andreas-lyrics;2,2628;48,824
92-175;Freestyle Radio 5;french rap, french r&b, pop urbaine;Booba;;Issy-les-Moulineaux;Commune;92040;92;m.o.r.t.e boulogne, issy-les-moulineaux‚ pont-de-sèvres‚ 92 yahia kho avec mon pote booba;https://genius.com/Booba-freestyle-radio-5-lyrics;2,2628;48,824
92-176;La League;french rap;Werenoi;2021;Levallois-Perret;Commune;92044;92;toujours accompagné d'son beretta, il vient du 9-3, pas de levallois-perret il joue d'la guitare, pas d’opéra, il attend pas;https://genius.com/Werenoi-la-league-lyrics;2,2874;48,8946
92-177;Harry Potter;;L’Araignée 784;2025;Levallois-Perret;Commune;92044;92;ca visser les geushs qui s'la prennent en levrette sur levallois-perret j'ai enchainé les livrettes jusqu'à opéra c'est comme une;https://genius.com/Laraignee-784-harry-potter-lyrics;2,2874;48,8946
92-178;Il pleut sur la gare;;Jarvis Cocker;2021;Levallois-Perret;Commune;92044;92;(hanté par l'asie et par cicéron) toutes années passées (à levallois-perret) parmi les vivants (à clermont-ferrand) n'ont pas entamé mon;https://genius.com/Jarvis-cocker-il-pleut-sur-la-gare-lyrics;2,2874;48,8946
92-179;Rendez-vous à Paris;chanson, french jazz;Maurice Chevalier;1954;Marnes-la-Coquette;Commune;92047;92;je vous dis : rendez-vous à paris tout près, à marnes-la-coquette dans un jardin touchant paris habite un français qui;https://genius.com/Maurice-chevalier-rendez-vous-a-paris-lyrics;2,1689;48,8286
92-180;Aubameyang;french rap, french r&b;La Fouine;2017;Meudon;Commune;92048;92;sur le sol glacé, quand tu faisais du cheval à meudon-la-forêt, renoi prends pas la fuite quand y'a échauffourée, tu;https://genius.com/La-fouine-aubameyang-lyrics;2,2288;48,8028
92-182;La java de Broadway;variété française, chanson, french pop;Michel Sardou;1977;Meudon;Commune;92048;92;dancing the java saturday on broadway it swings like in meudon we’re tired and we fly no need for beaujolais;https://genius.com/Michel-sardou-la-java-de-broadway-lyrics;2,2288;48,8028
92-183;Diane de Montrouge;variété française, chanson, french pop, french house;Nino Ferrer;;Montrouge;Commune;92049;92;Diane de Montrouge, sur sa mobylette orange;https://genius.com/Nino-ferrer-diane-de-montrouge-lyrics;2,3163;48,8159
92-184;De Bruxelles à Nanterre;french rap;34A;2019;Nanterre;Commune;92050;92;34A, Soo du boulevard, on contrôle d’Nanterre à BXL;https://genius.com/34a-de-bruxelles-a-nanterre-lyrics;2,2018;48,8974
92-185;Nanterre;french rap, pop urbaine;BRESOM GANG;2017;Nanterre;Commune;92050;92;Eh ! c'est Nanterre ! Qui est prêt pour la guerre ?;https://genius.com/Bresom-gang-nanterre-lyrics;2,2018;48,8974
92-186;De Barfleur à Nanterre;french rap;M le Maudit;2012;Nanterre;Commune;92050;92;Les faux mcs: 24 au compteur de Barfleur à Nanterre;https://genius.com/M-le-maudit-de-barfleur-a-nanterre-lyrics;2,2018;48,8974
92-187;Auteuil, Neuilly, Passy;chanson;Les inconnus;1991;Neuilly-sur-Seine;Commune;92051;92;"Hé mec, je me présente : je m'appelle Charles-Henri Du Pré
J'habite à Neuilly dans un quartier mais alors, paumé !";https://genius.com/Les-inconnus-auteuil-neuilly-passy-lyrics;2,2651;48,8862
92-188;Neuilly Sur Seine;rap ivoire, french rap, hyperpop;Lil Euphon;2022;Neuilly-sur-Seine;Commune;92051;92;designer sur moi j'suis en all black ils viennent de neuilly-sur-seine dans leur texte ils se prennent pour kodak elle;https://genius.com/Lil-euphon-neuilly-sur-seine-lyrics;2,2651;48,8862
92-189;Délit;french rap;Nono La Grinta;2023;Neuilly-sur-Seine;Commune;92051;92;pas la sorcellerie (ah non), j'ai encore une adresse à neuilly-sur-seine (ah nan) j'crois qu'j'vais m'arrêter là, l'instru', j'l'ai fait;https://genius.com/Nono-la-grinta-delit-lyrics;2,2651;48,8862
92-190;Palpite sous l’œil;french rap;B.B. Jacques;2021;Puteaux;Commune;92062;92;du manque de panache j’finis mon texte sur l'pont de puteaux fuck off aujourd’hui, il n’y a pas de plus;https://genius.com/Bb-jacques-palpite-sous-lil-lyrics;2,2384;48,8824
92-191;Chanson des commères;celtic, celtic rock, chanson, variété française;Tri Yann;1974;Rueil-Malmaison;Commune;92063;92;honneur et je vous dis ils ont du cœur a rueil-malmaison, il y a des bretons et pendant ce temps-là;https://genius.com/Tri-yann-chanson-des-commeres-lyrics;2,1806;48,8717
92-192;Mula;french rap, french r&b;GLGV;2015;Rueil-Malmaison;Commune;92063;92;glgv vas-y monte le son ça débarque tout droit de rueil-malmaison on fout le bordel puis tu payes la cotion;https://genius.com/Glgv-mula-lyrics;2,1806;48,8717
92-193;Le mystérieux CHOCOFLAN;soca;Grandpamini;2016;Rueil-Malmaison;Commune;92063;92;cho coflan cho cho cho coflan comme un graffiti à rueil-malmaison tague ton moule avec un spray à cuisson fait;https://genius.com/Grandpamini-le-mysterieux-chocoflan-lyrics;2,1806;48,8717
92-194;La Celle Saint Cloud;french rap;Georgio;2015;Saint-Cloud;Commune;92064;92;écrit pour sa grand-mère maternelle qui vit à la celle saint-cloud , ville des yvelines, située à l'ouest de paris.;https://genius.com/Georgio-la-celle-saint-cloud-lyrics;2,2032;48,844
92-195;saintcloud;variété française, chanson, french pop, french house;GAL (FRA);2024;Saint-Cloud;Commune;92064;92;ouais le seum est parti d'un coup, quand j'ai quitté saint-cloud le seum est parti d'un coup, quand j'ai quitté;https://genius.com/Gal-fra-saintcloud-lyrics;2,2032;48,844
92-196;Une vie;french rap, french r&b, pop urbaine;Booba;2013;Sèvres;Commune;92072;92;la fenêtre mon background est malhonnête, hauts-de-seine ou ja connèt' pont-de-sèvres, les baconnets, i-z-i sur la comète mon reufré sur;https://genius.com/Booba-une-vie-lyrics;2,2056;48,8223
92-197;SUR LA ROUTE DE SURESNES - PT. 1;;MC DONASSIETTE;2020;Suresnes;Commune;92073;92;Cette fille je l'ai rencontrée, sur la route de Suresnes !;https://genius.com/Mc-donassiette-sur-la-route-de-suresnes-pt-1-lyrics;2,2183;48,871
92-198;La Porte de Vanves;variété française, chanson, french pop, french house;Michel Jonasz;;Vanves;Commune;92075;92;C'ui qu'a changé la Porte de Vanves sans nous prév'nir;https://genius.com/Michel-jonasz-la-porte-de-vanves-lyrics;2,2869;48,8214
92-199;American Express;uk drill, drill;Risky;2018;Vaucresson;Commune;92076;92;remballe ton hlm à la montagne des glaises maison à vaucresson j'paye avec mon amex rien à foutre de tes;https://genius.com/Risky-american-express-lyrics;2,1628;48,8377
92-200;André;french rap;Guizmo;2014;Villeneuve-la-Garenne;Commune;92078;92;la gueule de l'emploi pour ça qu'on est aux assedics villeneuve-la-garenne, putain j'y ai laissé des frères j'en ai des;https://genius.com/Guizmo-andre-lyrics;2,3231;48,9354
94-003;Erik Satie;;Philippe Chatel;1979;Arcueil;Commune;94110;94;"« Il s’appelait Erik Satie
Je l’aurais voulu pour ami
Et m’appeler Ravel
Pour être près de lui
On aurait fait des symphonies
Qui ressembleraient à des fruits
Dans la maison d’Arcueil
J’aurais passé ma vie
A écouter Satie »";https://www.paroles.net/philippe-chatel/paroles-erik-satie;2.3338973095888083;48.80439122663173
94-004;Africain à Paris;;Tiken Jah Fakoly;2004;Cachan;Commune;94016;94;"« Maman, je pense à toi, je t’écris
D’un trois étoiles à Cachan
Tu vois, faut pas que tu trembles ici
J’ai un toit et un peu d’argent »";https://www.paroles.cc/chanson,africain-a-paris,32135;2.3340758;48.7945413
94-005;Sur le pont de Charenton;Chançon française;Henri Salvador;2007;Charenton;Commune;94220;94;"« Sur le pont d’ Charenton
On y danse on y danse
Sur le pont d’ Charenton
On y danse tous en rond »


";;2.419744;48.817124
94-006;Au bar est barré papa;Musiques du monde / chanson;Bratsch;2007;Champigny-sur-Marne;Commune;94017;94;"« Au bar est barré papa 
 On boira plus de rhum 
 On jouera plus de java 
 Avec les copains du bas »";https://genius.com/Bratsch-au-bar-est-barre-papa-lyrics;2,515893;48,81722
94-007;Quartier nord;Rap / hip-hop;MC Solaar;1994;Villeneuve-Saint-Georges;Commune;94078;94;"« Quartier Nord, c’est la banlieue sud 
 Où les mômes jouent à la guerre 
 Où la rime sent la sueur 
 Et le béton la misère »";https://genius.com/Mc-solaar-quartier-nord-lyrics;2,449234;48,73244
